85, 20, 0, Bask, Pyr, GABA
86, 20, 0, Bask, Pyr, GABA
87, 20, 0, Bask, Pyr, GABA
88, 20, 0, Bask, Pyr, GABA
89, 20, 0, Bask, Pyr, GABA
90, 20, 0, Bask, Pyr, GABA
91, 20, 0, Bask, Pyr, GABA
92, 20, 0, Bask, Pyr, GABA
93, 20, 0, Bask, Pyr, GABA
94, 20, 0, Bask, Pyr, GABA
95, 20, 0, Bask, Pyr, GABA
96, 20, 0, Bask, Pyr, GABA
97, 20, 0, Bask, Pyr, GABA
98, 20, 0, Bask, Pyr, GABA
99, 20, 0, Bask, Pyr, GABA
100, 20, 0, Bask, Pyr, GABA
81, 21, 0, Bask, Pyr, GABA
82, 21, 0, Bask, Pyr, GABA
83, 21, 0, Bask, Pyr, GABA
84, 21, 0, Bask, Pyr, GABA
85, 21, 0, Bask, Pyr, GABA
86, 21, 0, Bask, Pyr, GABA
87, 21, 0, Bask, Pyr, GABA
88, 21, 0, Bask, Pyr, GABA
89, 21, 0, Bask, Pyr, GABA
90, 21, 0, Bask, Pyr, GABA
91, 21, 0, Bask, Pyr, GABA
92, 21, 0, Bask, Pyr, GABA
93, 21, 0, Bask, Pyr, GABA
94, 21, 0, Bask, Pyr, GABA
95, 21, 0, Bask, Pyr, GABA
96, 21, 0, Bask, Pyr, GABA
97, 21, 0, Bask, Pyr, GABA
98, 21, 0, Bask, Pyr, GABA
99, 21, 0, Bask, Pyr, GABA
100, 21, 0, Bask, Pyr, GABA
81, 22, 0, Bask, Pyr, GABA
82, 22, 0, Bask, Pyr, GABA
83, 22, 0, Bask, Pyr, GABA
84, 22, 0, Bask, Pyr, GABA
85, 22, 0, Bask, Pyr, GABA
86, 22, 0, Bask, Pyr, GABA
87, 22, 0, Bask, Pyr, GABA
88, 22, 0, Bask, Pyr, GABA
89, 22, 0, Bask, Pyr, GABA
90, 22, 0, Bask, Pyr, GABA
91, 22, 0, Bask, Pyr, GABA
92, 22, 0, Bask, Pyr, GABA
93, 22, 0, Bask, Pyr, GABA
94, 22, 0, Bask, Pyr, GABA
95, 22, 0, Bask, Pyr, GABA
96, 22, 0, Bask, Pyr, GABA
97, 22, 0, Bask, Pyr, GABA
98, 22, 0, Bask, Pyr, GABA
99, 22, 0, Bask, Pyr, GABA
100, 22, 0, Bask, Pyr, GABA
81, 23, 0, Bask, Pyr, GABA
82, 23, 0, Bask, Pyr, GABA
83, 23, 0, Bask, Pyr, GABA
84, 23, 0, Bask, Pyr, GABA
85, 23, 0, Bask, Pyr, GABA
86, 23, 0, Bask, Pyr, GABA
87, 23, 0, Bask, Pyr, GABA
88, 23, 0, Bask, Pyr, GABA
89, 23, 0, Bask, Pyr, GABA
90, 23, 0, Bask, Pyr, GABA
91, 23, 0, Bask, Pyr, GABA
92, 23, 0, Bask, Pyr, GABA
93, 23, 0, Bask, Pyr, GABA
94, 23, 0, Bask, Pyr, GABA
95, 23, 0, Bask, Pyr, GABA
96, 23, 0, Bask, Pyr, GABA
97, 23, 0, Bask, Pyr, GABA
98, 23, 0, Bask, Pyr, GABA
99, 23, 0, Bask, Pyr, GABA
100, 23, 0, Bask, Pyr, GABA
81, 24, 0, Bask, Pyr, GABA
82, 24, 0, Bask, Pyr, GABA
83, 24, 0, Bask, Pyr, GABA
84, 24, 0, Bask, Pyr, GABA
85, 24, 0, Bask, Pyr, GABA
86, 24, 0, Bask, Pyr, GABA
87, 24, 0, Bask, Pyr, GABA
88, 24, 0, Bask, Pyr, GABA
89, 24, 0, Bask, Pyr, GABA
90, 24, 0, Bask, Pyr, GABA
91, 24, 0, Bask, Pyr, GABA
92, 24, 0, Bask, Pyr, GABA
93, 24, 0, Bask, Pyr, GABA
94, 24, 0, Bask, Pyr, GABA
95, 24, 0, Bask, Pyr, GABA
96, 24, 0, Bask, Pyr, GABA
97, 24, 0, Bask, Pyr, GABA
98, 24, 0, Bask, Pyr, GABA
99, 24, 0, Bask, Pyr, GABA
100, 24, 0, Bask, Pyr, GABA
81, 25, 0, Bask, Pyr, GABA
82, 25, 0, Bask, Pyr, GABA
83, 25, 0, Bask, Pyr, GABA
84, 25, 0, Bask, Pyr, GABA
85, 25, 0, Bask, Pyr, GABA
86, 25, 0, Bask, Pyr, GABA
87, 25, 0, Bask, Pyr, GABA
88, 25, 0, Bask, Pyr, GABA
89, 25, 0, Bask, Pyr, GABA
90, 25, 0, Bask, Pyr, GABA
91, 25, 0, Bask, Pyr, GABA
92, 25, 0, Bask, Pyr, GABA
93, 25, 0, Bask, Pyr, GABA
94, 25, 0, Bask, Pyr, GABA
95, 25, 0, Bask, Pyr, GABA
96, 25, 0, Bask, Pyr, GABA
97, 25, 0, Bask, Pyr, GABA
98, 25, 0, Bask, Pyr, GABA
99, 25, 0, Bask, Pyr, GABA
100, 25, 0, Bask, Pyr, GABA
81, 26, 0, Bask, Pyr, GABA
82, 26, 0, Bask, Pyr, GABA
83, 26, 0, Bask, Pyr, GABA
84, 26, 0, Bask, Pyr, GABA
85, 26, 0, Bask, Pyr, GABA
86, 26, 0, Bask, Pyr, GABA
87, 26, 0, Bask, Pyr, GABA
88, 26, 0, Bask, Pyr, GABA
89, 26, 0, Bask, Pyr, GABA
90, 26, 0, Bask, Pyr, GABA
91, 26, 0, Bask, Pyr, GABA
92, 26, 0, Bask, Pyr, GABA
93, 26, 0, Bask, Pyr, GABA
94, 26, 0, Bask, Pyr, GABA
95, 26, 0, Bask, Pyr, GABA
96, 26, 0, Bask, Pyr, GABA
97, 26, 0, Bask, Pyr, GABA
98, 26, 0, Bask, Pyr, GABA
99, 26, 0, Bask, Pyr, GABA
100, 26, 0, Bask, Pyr, GABA
81, 27, 0, Bask, Pyr, GABA
82, 27, 0, Bask, Pyr, GABA
83, 27, 0, Bask, Pyr, GABA
84, 27, 0, Bask, Pyr, GABA
